originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_2000_,regionflow_2002_,regionflow_2004_,regionflow_2006_,regionflow_2008_,regionflow_2010_,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_2000,countryflow_2002,countryflow_2004,countryflow_2006,countryflow_2008,countryflow_2010,origin_show,destination_show
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,171,Fürth,8,5,7,1,1,10,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,195,München,167,99,98,125,144,108,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,196,München,19,8,16,26,15,18,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,202,Nürnberg,27,25,16,19,45,22,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,210,Regensburg,8,6,10,9,3,4,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,214,Rosenheim,13,8,4,5,1,4,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,3,Braunschweig,231,Würzburg,13,10,7,15,12,12,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,236,Böblingen,11,14,11,12,14,17,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,237,Bodenseekreis,4,8,11,17,15,18,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,238,Breisgau,16,12,10,3,5,4,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,241,Enzkreis,3,2,0,6,0,2,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,242,Esslingen,14,10,22,26,28,12,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,243,Freiburg,8,26,35,26,17,20,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,246,Heidelberg,28,16,21,23,13,15,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,249,Heilbronn,9,15,5,6,9,13,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,251,Karlsruhe,58,32,24,25,24,30,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,252,Karlsruhe,9,11,10,13,12,11,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,253,Konstanz,22,13,21,5,10,1,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,255,Ludwigsburg,21,27,14,9,23,20,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,257,Mannheim,25,16,10,21,26,14,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,259,Ortenaukreis,5,2,7,13,11,14,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,260,Ostalbkreis,7,4,9,6,5,9,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,262,Rastatt,8,8,6,6,8,6,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,263,Ravensburg,4,6,6,12,7,7,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,264,Rems-Murr-Kreis,9,25,5,4,7,7,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,265,Reutlingen,13,2,9,7,5,9,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,266,Rhein-Neckar-Kreis,10,20,22,20,17,8,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,271,Stuttgart,68,38,52,60,53,51,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,272,Tübingen,14,11,18,15,12,8,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,3,Braunschweig,274,Ulm,2,4,10,7,7,5,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,282,Bergstraße,4,4,13,12,7,6,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,286,Darmstadt,22,18,12,13,21,17,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,287,Darmstadt-Dieburg,39,9,8,7,10,14,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,291,Frankfurt,91,50,58,60,64,58,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,294,Gießen,7,16,10,12,12,16,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,295,Groß-Gerau,14,8,10,18,10,17,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,297,Hochtaunuskreis,20,10,11,10,13,11,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,300,Kassel,29,34,40,24,35,54,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,307,Ludwigshafen,6,6,5,6,6,7,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,308,Main-Kinzig-Kreis,18,16,11,14,9,4,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,309,Main-Taunus-Kreis,35,16,16,9,11,8,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,310,Mainz,4,16,18,14,6,17,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,311,Mainz-Bingen,6,7,2,8,4,5,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,312,Marburg-Biedenkopf,11,17,28,30,25,25,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,313,Mayen-Koblenz,1,3,5,1,4,4,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,320,Offenbach,11,10,11,15,16,11,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,326,Saarbrücken,6,11,17,17,12,12,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,334,Trier,4,14,3,8,16,10,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,341,Wetteraukreis,8,11,4,7,4,12,1,1
1,Nord,6,West,19580,18309,17717,17782,17156,18133,,3,Braunschweig,342,Wiesbaden,17,12,17,17,21,13,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,345,Aachen,24,24,29,36,32,40,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,346,Bielefeld,24,38,34,26,27,31,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,347,Bochum,16,11,33,24,19,13,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,348,Bonn,27,31,25,28,38,17,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,349,Borken,1,6,9,11,13,10,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,352,Dortmund,28,28,26,30,32,26,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,353,Duisburg,5,11,18,8,9,12,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,354,Düren,1,4,7,8,6,4,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,355,Düsseldorf,20,39,45,53,64,45,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,356,Ennepe-Ruhr-Kreis,6,3,6,14,4,9,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,357,Essen,23,20,29,27,26,23,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,359,Gelsenkirchen,3,5,5,3,2,10,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,360,Gütersloh,20,10,14,18,9,18,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,361,Hagen,5,2,3,5,3,1,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,364,Herford,9,7,9,16,10,17,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,368,Kleve,4,6,3,9,8,4,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,369,Köln,127,65,70,100,91,89,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,370,Krefeld,13,12,8,9,14,5,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,372,Lippe,10,30,19,20,15,22,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,373,Märkischer Kreis,12,12,10,9,4,8,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,374,Mettmann,5,15,12,10,19,12,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,375,Minden-Lübbecke,10,19,16,18,24,26,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,376,Mönchengladbach,4,3,6,5,9,18,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,378,Münster,24,20,45,32,24,24,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,379,Oberbergischer Kreis,1,5,4,7,7,3,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,380,Oberhausen,6,5,2,11,10,13,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,382,Paderborn,24,11,18,12,26,23,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,383,Recklinghausen,9,10,9,15,10,15,1,1
1,Nord,7,Nord West,40706,41264,41693,41570,41397,42206,,3,Braunschweig,385,Rhein-Erft-Kreis,13,13,12,21,8,29,1,1
