iso,name,show
274,Ulm,1
275,Waldshut,0
276,Zollernalbkreis,0
277,Ahrweiler,0
278,Altenkirchen ,0
279,Alzey-Worms,0
280,Bad Dürkheim,0
281,Bad Kreuznach,0
282,Bergstraße,1
283,Bernkastel-Wittlich,0
284,Birkenfeld,0
285,Cochem-Zell,0
286,Darmstadt,1
287,Darmstadt-Dieburg,1
288,Donnersbergkreis,0
289,Eifelkreis,0
290,Frankenthal ,0
291,Frankfurt,1
292,Fulda,0
293,Germersheim,0
294,Gießen,1
295,Groß-Gerau,1
296,Hersfeld-Rotenburg,0
297,Hochtaunuskreis,1
298,Kaiserslautern,0
299,Kaiserslautern,0
300,Kassel,1
301,Kassel,0
302,Koblenz,0
303,Kusel,0
304,Lahn-Dill-Kreis,0
305,Landau in der Pfalz,0
306,Limburg-Weilburg,0
307,Ludwigshafen,1
308,Main-Kinzig-Kreis,1
309,Main-Taunus-Kreis,1
310,Mainz,1
311,Mainz-Bingen,1
312,Marburg-Biedenkopf,1
313,Mayen-Koblenz,1
314,Merzig-Wadern,0
315,Neunkirchen,0
316,Neustadt Weinstraße,0
317,Neuwied,0
318,Odenwaldkreis,0
319,Offenbach,0
320,Offenbach,1
321,Pirmasens,0
322,Rheingau-Taunus-Kreis,0
323,Rhein-Hunsrück-Kreis,0
324,Rhein-Lahn-Kreis,0
325,Rhein-Pfalz-Kreis,0
326,Saarbrücken,1
327,Saarlouis,0
328,Saarpfalz-Kreis,0
329,Schwalm-Eder-Kreis,0
330,Speyer,0
331,St. Wendel,0
332,Südliche Weinstraße,0
333,Südwestpfalz,0
334,Trier,1
335,Trier-Saarburg,0
336,Vogelsbergkreis,0
337,Vulkaneifel,0
338,Waldeck-Frankenberg,0
339,Werra-Meißner-Kreis,0
340,Westerwaldkreis,0
341,Wetteraukreis,1
342,Wiesbaden,1
343,Worms,0
344,Zweibrücken,0
345,Aachen,1
346,Bielefeld,1
347,Bochum,1
348,Bonn,1
349,Borken,1
350,Bottrop,0
351,Coesfeld,0
352,Dortmund,1
353,Duisburg,1
354,Düren,1
355,Düsseldorf,1
356,Ennepe-Ruhr-Kreis,1
357,Essen,1
358,Euskirchen,0
359,Gelsenkirchen,1
360,Gütersloh,1
361,Hagen,1
362,Hamm,0
363,Heinsberg,0
364,Herford,1
365,Herne,0
366,Hochsauerlandkreis,0
367,Höxter,0
368,Kleve,1
369,Köln,1
370,Krefeld,1
371,Leverkusen,0
372,Lippe,1
373,Märkischer Kreis,1
374,Mettmann,1
375,Minden-Lübbecke,1
376,Mönchengladbach,1
377,Mülheim,0
378,Münster,1
379,Oberbergischer Kreis,1
380,Oberhausen,1
381,Olpe,0
382,Paderborn,1
383,Recklinghausen,1
384,Remscheid,0
385,Rhein-Erft-Kreis,1
386,Rheinisch-Bergischer Kreis,1
387,Rhein-Kreis Neuss,1
388,Rhein-Sieg-Kreis,1
389,Siegen-Wittgenstein,0
390,Soest,1
391,Solingen,0
392,Steinfurt,1
393,Unna,1
394,Viersen,1
395,Warendorf,1
396,Wesel,1
397,Wuppertal,1
